filename,video_path,exist_bool
01_04_1_03_06.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\01_04_1_03_06.mp4,True
02_02_6_17_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_02_6_17_02.mp4,True
02_03_1_03_03.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_1_03_03.mp4,True
02_03_4_05_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_4_05_02.mp4,True
02_03_4_05_03.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_4_05_03.mp4,True
02_03_6_13_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_6_13_02.mp4,True
02_03_6_15_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_6_15_02.mp4,True
02_03_6_16_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_6_16_02.mp4,True
02_03_6_17_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\02_03_6_17_02.mp4,True
03_03_1_03_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\03_03_1_03_02.mp4,True
03_03_6_15_03.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\03_03_6_15_03.mp4,True
04_03_5_12_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_03_5_12_05.mp4,True
04_03_5_15_06.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_03_5_15_06.mp4,True
04_03_6_10_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_03_6_10_05.mp4,True
04_03_6_12_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_03_6_12_05.mp4,True
04_05_07_08_06.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_05_07_08_06.mp4,True
04_06_01_03_06.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_06_01_03_06.mp4,True
04_06_06_10_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_06_06_10_05.mp4,True
04_06_06_16_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_06_06_16_05.mp4,True
04_07_1_03_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_07_1_03_05.mp4,True
04_07_2_06_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_07_2_06_05.mp4,True
04_07_4_07_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_07_4_07_05.mp4,True
04_09_1_03_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_09_1_03_05.mp4,True
04_12_1_03_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_12_1_03_05.mp4,True
04_13_6_17_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_13_6_17_05.mp4,True
04_14_3_3_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_14_3_3_05.mp4,True
04_14_3_11_05.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\04_14_3_11_05.mp4,True
