filename,video_path,exist_bool
cropped_20_12_11_11_12_1.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\cropped_20_12_11_11_12_1.mp4,False
resized_cropped_04_12_6_05_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_04_12_6_05_02.mp4,False
resized_cropped_07_10_3_11_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_07_10_3_11_02.mp4,False
resized_cropped_11_12_11_12_1.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_11_12_11_12_1.mp4,False
resized_cropped_17_11_5_05_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_17_11_5_05_02.mp4,False
resized_cropped_21_09_9_04_04.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_21_09_9_04_04.mp4,False
resized_cropped_22_09_11_06_01.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_22_09_11_06_01.mp4,False
resized_cropped_22_12_5_05_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_22_12_5_05_02.mp4,False
resized_cropped_23_12_5_06_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_23_12_5_06_02.mp4,False
resized_cropped_25_12_6_05_02.mp4,D:\KRSL_OnlineSchool\KRSL_OnlineSchool_final_dataset\video\elarna_video_unsorted\resized_cropped_25_12_6_05_02.mp4,False
